distrito_id,zona_id,nombre,gateway_id,habitantes,total_medidores
1,24,QUERU QUERU ALTO,3,39013,2718
1,25,ARANJUEZ ALTO,3,21731,1514
1,26,MESADILLA,3,29281,2040
2,1,MAYORAZGO,3,0,1430
2,3,CALA CALA,3,0,436
2,22,CONDEBAMBA,3,0,392
2,23,TEMPORAL PAMPA,3,0,1553
2,24,QUERU QUERU ALTO,3,0,3217
13,24,LA TEMIBLE CARA CARA,3,0,1521
3,2,SARCO,3,26664,3275
3,6,HIPODROMO,3,5560,683
3,21,SARCOBAMBA,3,25215,3097
3,27,VILLA BUSCH,3,9754,1198
3,37,CHIQUICOLLO,3,24246,2978
4,6,HIPODROMO,3,0,1606
4,10,LA CHIMBA,3,0,728
4,27,VILLA BUSCH,3,0,1083
4,28,COÑA COÑA,3,0,2668
5,12,SUDESTE,3,11514,1354
5,14,LA MAICA,3,26081,3067
5,15,JAIHUAYCO,3,25248,2969
5,16,ALALAY NORTE,3,26898,3163
5,17,LACMA,3,11625,1367
8,18,TICTI,3,0,867
8,20,VALLE HERMOSO,3,0,1827
8,34,USPHA USPHA,3,0,2496
6,16,ALALAY NORTE,1,98167,3537
7,16,ALALAY NORTE,1,0,1187
7,19,ALALAY SUD,1,0,2143
14,19,ALALAY SUD,1,0,3556
14,20,VALLE HERMOSO,1,0,2187
9,14,LA MAICA,4,11353,1128
9,28,COÑA COÑA,4,28372,2819
9,29,TAMBORADA PUKARITA,4,12440,1236
9,30,1° DE MAYO,4,17291,1718
9,31,PUKARA GRANDE NORTE,4,21166,2103
9,32,VALLE HERMOSO OESTE,4,8534,848
9,35,PUKARA GRANDE SUR,4,6401,636
9,36,PUKARA GRANDE OESTE,4,25735,2557
15,32,VALLE HERMOSO OESTE,4,0,1175
15,33,KHARA KHARA ARRUMANI,4,0,3418
15,35,PUKARA GRANDE SUR,1,0,1582
10,7,NOROESTE,2,59247,2635
10,8,NORESTE,2,37145,1652
10,11,SUDOESTE,2,19044,847
10,12,SUDESTE,2,4272,190
11,9,MUYURINA,2,0,640
11,13,LAS CUADRAS,2,0,1239
11,16,ALALAY NORTE,2,0,1630
12,2,SARCO,2,0,2475
12,3,CALA CALA,2,0,1673
12,4,QUERU QUERU,2,0,2323
12,5,TUPURAYA,2,0,3168
12,6,HIPODROMO,2,0,451
